time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
0.84,0.1024,-0.167669,-0.336091,-0.368569,0.297574,0.21688,0.260674,-0.055784,0.003096,0.088343,0.144605,0.281774,-0.315407,-0.488575,-0.004617,-0.101395,-0.498451,0.046065,0.481488,0.226166,0.337636,0.076591,0.018757,0.058704,0.014679,0.311815,0.075089,-0.253676,0.115555
0.86,0.056668,-0.034384,-0.357997,-0.459988,0.246179,0.271085,0.260454,-0.086286,-0.015848,0.065249,0.071698,0.274136,-0.383014,-0.514009,0.005517,-0.111959,-0.490501,0.003009,0.469709,0.225589,0.336817,0.072492,0.023289,0.065101,0.030549,0.29698,0.025116,-0.27953,0.117088
0.88,-0.001642,0.031283,-0.385322,-0.484619,0.234705,0.296459,0.268277,-0.110993,-0.027026,0.0519,0.023762,0.315403,-0.401019,-0.541522,0.012995,-0.11632,-0.480422,-0.031004,0.439923,0.225172,0.336686,0.059314,0.024141,0.070906,0.050978,0.287525,-0.034081,-0.313867,0.118719
0.9,-0.034305,0.114588,-0.419963,-0.476324,0.244885,0.288862,0.302354,-0.121624,-0.049484,0.056306,-0.018053,0.362555,-0.366176,-0.542844,0.016128,-0.112579,-0.470717,-0.06504,0.399311,0.226761,0.336647,0.040351,0.022254,0.073952,0.068476,0.284687,-0.096898,-0.352351,0.119775
0.92,-0.046025,0.17825,-0.429282,-0.453211,0.268957,0.265954,0.336244,-0.133526,-0.06608,0.057199,-0.036829,0.430067,-0.291447,-0.52333,0.014468,-0.099175,-0.462722,-0.098118,0.355978,0.23043,0.337558,0.018208,0.017314,0.074741,0.079639,0.289438,-0.155131,-0.390675,0.120217
0.94,-0.056361,0.195269,-0.394849,-0.413328,0.307198,0.246344,0.343048,-0.141034,-0.0742,0.048989,0.007054,0.505422,-0.1589,-0.492427,0.008425,-0.074931,-0.455382,-0.129963,0.320206,0.235142,0.340762,-0.004996,0.009402,0.074796,0.083713,0.303179,-0.200323,-0.424456,0.120016
0.96,-0.071104,0.070616,-0.301877,-0.346514,0.399872,0.229073,0.318819,-0.132366,-0.081085,0.018763,0.179432,0.574933,0.066369,-0.417237,-0.00027,-0.041787,-0.446714,-0.15346,0.290994,0.238807,0.346284,-0.027914,-0.000467,0.074323,0.084606,0.327509,-0.224426,-0.450251,0.119388
0.98,-0.060827,-0.186701,-0.238354,-0.168914,0.523328,0.24561,0.291723,-0.114485,-0.091005,0.025846,0.391983,0.53556,0.312632,-0.356028,-0.010189,-0.011477,-0.432013,-0.162976,0.273101,0.24009,0.352131,-0.048937,-0.010992,0.071286,0.090952,0.361865,-0.218668,-0.463858,0.118644
1.0,-0.050715,-0.221781,-0.278713,0.140497,0.55083,0.281818,0.264651,-0.062233,-0.048444,0.049693,0.281326,0.456863,0.401602,-0.367792,-0.018928,0.00258,-0.409486,-0.152195,0.270121,0.240225,0.355762,-0.066596,-0.021501,0.065906,0.112354,0.399396,-0.176961,-0.464098,0.117628
1.02,-0.107026,-0.150429,-0.387172,0.278418,0.553734,0.276717,0.256892,-0.049409,0.005192,0.031992,0.280248,0.330213,0.390422,-0.301148,-0.025658,-0.001013,-0.38213,-0.113721,0.281241,0.242815,0.355648,-0.078672,-0.029438,0.060618,0.13765,0.430367,-0.109469,-0.457616,0.116149
