time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
0.56,0.120331,-0.229873,-0.409349,-0.073072,0.430555,0.339912,0.28951,0.026493,-0.023627,0.096363,0.199751,0.465797,0.14021,-0.518704,0.107413,-0.080437,-0.411629,0.047051,0.396792,0.342513,0.351988,0.024533,-0.018967,0.100923,0.093803,0.49738,-0.040574,-0.474952,0.115787
0.58,0.120505,-0.229277,-0.407822,-0.073001,0.427634,0.339677,0.286732,0.028424,-0.022558,0.094255,0.20117,0.466051,0.135996,-0.51244,0.107435,-0.080367,-0.411516,0.047106,0.396775,0.342542,0.351973,0.024547,-0.018967,0.100938,0.093903,0.497363,-0.039872,-0.475726,0.115768
0.6,0.119414,-0.22616,-0.408464,-0.069767,0.429354,0.337246,0.294211,0.027052,-0.021777,0.095311,0.198245,0.461345,0.138094,-0.536455,0.107449,-0.080334,-0.411764,0.047151,0.396637,0.342456,0.351975,0.024597,-0.018967,0.100942,0.094197,0.497398,-0.040661,-0.473836,0.115738
0.62,0.121183,-0.228512,-0.410013,-0.072904,0.426276,0.343165,0.288274,0.02515,-0.022459,0.096054,0.198905,0.46438,0.144302,-0.51517,0.107463,-0.080345,-0.411792,0.047123,0.396743,0.342463,0.351981,0.024606,-0.018966,0.100942,0.094119,0.497324,-0.041071,-0.474076,0.115764
0.64,0.119841,-0.22958,-0.409093,-0.073998,0.430981,0.339505,0.288763,0.026548,-0.022728,0.096895,0.198962,0.467688,0.137262,-0.517644,0.107482,-0.080363,-0.41174,0.047081,0.396822,0.342548,0.351964,0.024607,-0.018966,0.100959,0.093957,0.497287,-0.04091,-0.474938,0.115782
0.66,0.120059,-0.228596,-0.407435,-0.073594,0.427449,0.33974,0.286488,0.028029,-0.022538,0.094423,0.19995,0.466933,0.135217,-0.511553,0.107505,-0.080296,-0.411611,0.04714,0.396859,0.342588,0.351941,0.024621,-0.018961,0.100979,0.09404,0.497276,-0.040079,-0.475708,0.115766
0.68,0.119038,-0.225507,-0.408474,-0.070045,0.428832,0.337389,0.293906,0.026751,-0.021681,0.095421,0.197554,0.461997,0.137298,-0.535391,0.107518,-0.080265,-0.411827,0.047196,0.396724,0.342513,0.35194,0.024664,-0.018958,0.100984,0.094313,0.497334,-0.040762,-0.473813,0.115737
0.7,0.120929,-0.227938,-0.409869,-0.072803,0.426133,0.342884,0.288461,0.025048,-0.022495,0.095995,0.19849,0.464279,0.144045,-0.515688,0.10753,-0.080272,-0.411833,0.047127,0.39689,0.342531,0.351942,0.024672,-0.018956,0.100982,0.094222,0.497304,-0.041044,-0.473998,0.115769
0.72,0.119582,-0.229489,-0.40943,-0.074255,0.430403,0.339683,0.288578,0.026304,-0.022545,0.096994,0.198634,0.468181,0.136782,-0.51659,0.107547,-0.080293,-0.411792,0.047089,0.396932,0.342587,0.351926,0.024671,-0.018956,0.100999,0.094053,0.497269,-0.040897,-0.474889,0.115783
0.74,0.119696,-0.229571,-0.408776,-0.074806,0.431452,0.339017,0.289049,0.02678,-0.023171,0.095797,0.199231,0.467361,0.135903,-0.516361,0.107565,-0.080273,-0.411675,0.047115,0.396963,0.342655,0.351902,0.024682,-0.018953,0.101024,0.093972,0.497257,-0.04031,-0.475525,0.115784
0.76,0.118606,-0.225657,-0.406773,-0.069432,0.426992,0.337242,0.294309,0.027787,-0.022519,0.094455,0.196926,0.461922,0.13492,-0.536022,0.10758,-0.080205,-0.411844,0.047209,0.396935,0.342563,0.351905,0.02471,-0.018949,0.101036,0.094319,0.497343,-0.040428,-0.474355,0.115741
0.78,0.120784,-0.22744,-0.41018,-0.072627,0.426077,0.342642,0.289098,0.025235,-0.022504,0.095692,0.198762,0.463724,0.144555,-0.516975,0.107588,-0.080225,-0.411927,0.047186,0.396995,0.342538,0.351921,0.02472,-0.018952,0.101031,0.094264,0.497315,-0.041033,-0.474107,0.115761
0.8,0.119654,-0.229438,-0.409454,-0.073748,0.429522,0.339805,0.288676,0.026384,-0.022312,0.096796,0.198855,0.467542,0.137204,-0.516893,0.107604,-0.080243,-0.411848,0.047142,0.397039,0.342629,0.351908,0.02472,-0.018953,0.101042,0.094102,0.497282,-0.040904,-0.474841,0.115783
0.82,0.119725,-0.229458,-0.408833,-0.074591,0.431179,0.33904,0.28916,0.026847,-0.022976,0.095585,0.199438,0.46695,0.136282,-0.516617,0.107622,-0.080227,-0.411737,0.047153,0.397043,0.342697,0.351885,0.02473,-0.018949,0.101063,0.094025,0.497265,-0.040376,-0.475484,0.115784
